Productcat,Date,Sales
ProdCat37,08-03-2014,
ProdCat37,11-03-2014,
ProdCat37,12-03-2014,
ProdCat37,13-03-2014,
ProdCat37,14-03-2014,
ProdCat37,15-03-2014,
ProdCat37,18-03-2014,
ProdCat37,19-03-2014,
ProdCat37,20-03-2014,
ProdCat37,21-03-2014,
ProdCat37,22-03-2014,
ProdCat37,25-03-2014,
ProdCat37,26-03-2014,
ProdCat37,27-03-2014,
ProdCat37,28-03-2014,
ProdCat37,29-03-2014,
ProdCat38,01-03-2014,
ProdCat38,04-03-2014,
ProdCat38,05-03-2014,
ProdCat38,06-03-2014,
ProdCat38,07-03-2014,
ProdCat38,08-03-2014,
ProdCat38,11-03-2014,
ProdCat38,12-03-2014,
ProdCat38,13-03-2014,
ProdCat38,14-03-2014,
ProdCat38,15-03-2014,
ProdCat38,18-03-2014,
ProdCat38,19-03-2014,
ProdCat38,20-03-2014,
ProdCat38,21-03-2014,
ProdCat38,22-03-2014,
ProdCat38,25-03-2014,
ProdCat38,26-03-2014,
ProdCat38,27-03-2014,
ProdCat38,28-03-2014,
ProdCat38,29-03-2014,
ProdCat39,01-03-2014,
ProdCat39,04-03-2014,
ProdCat39,05-03-2014,
ProdCat39,06-03-2014,
ProdCat39,07-03-2014,
ProdCat39,08-03-2014,
ProdCat39,11-03-2014,
ProdCat39,12-03-2014,
ProdCat39,13-03-2014,
ProdCat39,14-03-2014,
ProdCat39,15-03-2014,
ProdCat39,18-03-2014,
ProdCat39,19-03-2014,
ProdCat39,20-03-2014,
ProdCat39,21-03-2014,
ProdCat39,22-03-2014,
ProdCat39,25-03-2014,
ProdCat39,26-03-2014,
ProdCat39,27-03-2014,
ProdCat39,28-03-2014,
ProdCat39,29-03-2014,
ProdCat40,01-03-2014,
ProdCat40,04-03-2014,
ProdCat40,05-03-2014,
ProdCat40,06-03-2014,
ProdCat40,07-03-2014,
ProdCat40,08-03-2014,
ProdCat40,11-03-2014,
ProdCat40,12-03-2014,
ProdCat40,13-03-2014,
ProdCat40,14-03-2014,
ProdCat40,15-03-2014,
ProdCat40,18-03-2014,
ProdCat40,19-03-2014,
ProdCat40,20-03-2014,
ProdCat40,21-03-2014,
ProdCat40,22-03-2014,
ProdCat40,25-03-2014,
ProdCat40,26-03-2014,
ProdCat40,27-03-2014,
ProdCat40,28-03-2014,
ProdCat40,29-03-2014,
ProdCat41,01-03-2014,
ProdCat41,04-03-2014,
ProdCat41,05-03-2014,
ProdCat41,06-03-2014,
ProdCat41,07-03-2014,
ProdCat41,08-03-2014,
ProdCat41,11-03-2014,
ProdCat41,12-03-2014,
ProdCat41,13-03-2014,
ProdCat41,14-03-2014,
ProdCat41,15-03-2014,
ProdCat41,18-03-2014,
ProdCat41,19-03-2014,
ProdCat41,20-03-2014,
ProdCat41,21-03-2014,
ProdCat41,22-03-2014,
ProdCat41,25-03-2014,
ProdCat41,26-03-2014,
ProdCat41,27-03-2014,
ProdCat41,28-03-2014,
ProdCat41,29-03-2014,
ProdCat42,01-03-2014,
ProdCat42,04-03-2014,
ProdCat42,05-03-2014,
ProdCat42,06-03-2014,
ProdCat42,07-03-2014,
ProdCat42,08-03-2014,
ProdCat42,11-03-2014,
ProdCat42,12-03-2014,
ProdCat42,13-03-2014,
ProdCat42,14-03-2014,
ProdCat42,15-03-2014,
ProdCat42,18-03-2014,
ProdCat42,19-03-2014,
ProdCat42,20-03-2014,
ProdCat42,21-03-2014,
ProdCat42,22-03-2014,
ProdCat42,25-03-2014,
ProdCat42,26-03-2014,
ProdCat42,27-03-2014,
ProdCat42,28-03-2014,
ProdCat42,29-03-2014,
ProdCat43,01-03-2014,
ProdCat43,04-03-2014,
ProdCat43,05-03-2014,
ProdCat43,06-03-2014,
ProdCat43,07-03-2014,
ProdCat43,08-03-2014,
ProdCat43,11-03-2014,
ProdCat43,12-03-2014,
ProdCat43,13-03-2014,
ProdCat43,14-03-2014,
ProdCat43,15-03-2014,
ProdCat43,18-03-2014,
ProdCat43,19-03-2014,
ProdCat43,20-03-2014,
ProdCat43,21-03-2014,
ProdCat43,22-03-2014,
ProdCat43,25-03-2014,
ProdCat43,26-03-2014,
ProdCat43,27-03-2014,
ProdCat43,28-03-2014,
ProdCat43,29-03-2014,
ProdCat44,01-03-2014,
ProdCat44,04-03-2014,
ProdCat44,05-03-2014,
ProdCat44,06-03-2014,
ProdCat44,07-03-2014,
ProdCat44,08-03-2014,
ProdCat44,11-03-2014,
ProdCat44,12-03-2014,
ProdCat44,13-03-2014,
ProdCat44,14-03-2014,
ProdCat44,15-03-2014,
ProdCat44,18-03-2014,
ProdCat44,19-03-2014,
ProdCat44,20-03-2014,
ProdCat44,21-03-2014,
ProdCat44,22-03-2014,
ProdCat44,25-03-2014,
ProdCat44,26-03-2014,
ProdCat44,27-03-2014,
ProdCat44,28-03-2014,
ProdCat44,29-03-2014,
ProdCat45,01-03-2014,
ProdCat45,04-03-2014,
ProdCat45,05-03-2014,
ProdCat45,06-03-2014,
ProdCat45,07-03-2014,
ProdCat45,08-03-2014,
ProdCat45,11-03-2014,
